id,name,spotify_id,thumbnail
95,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Z-48u_uWMHY
105,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,4knuoIAWweA
113,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,S77zUWqawag
110,Lips,,C169fjEBC3o
123,Madeon,4pb4rqWSoGUgxm63xmJ8xc,B496Qv0CuOQ
132,Melody's Echo Chamber,,v29I0srhPwg
135,MGMT,0SwO7SWeDHJijQ3XNS7xEE,MmZexg8sxyk
131,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,7PCkvCPvDXk
146,Naughty Boy feat. Sam Smith,,3O1_3zBUKM8
151,O.T. Genesis,3fK1mffLpVDraqC0rPa017,6vYnas6q3Sg
150,Nosaj Thing feat. Toro Y Moi,,GK8mtokmoaQ
152,Odesza,,Z7enjMpDggk
153,Of Monsters and Men,,ghb6eDopW8I
159,Pumped Up Kicks,2pKTcdQZmt4EHGV4QIqdn0,SDTZ7iX4vTQ
14,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,H8tLS_NOWLs
17,ASAP Ferg,5dHt1vcEm9qb8fCyLcB3HL,iXZxipry6kE
19,Asher Roth,1wgY8huggK60P5nvYrwcYT,qYx7YG0RsFY
20,Avicii,1vCWHaC5f2uS3yhpwWbIA6,UtF6Jej8yb4
32,Big Tymers,4jWGfUCFeTu5e0wprRhHXR,9iCd6UHR-3I
39,Brothertiger,2MaMzvFmtu68r9zpdJ4tLE,flNm0uy98eI
43,Casey Veggies,0uFc6StTmJBvdHPZFDkdJy,30RLLTGrgxU
62,Dirty Projectors,5VF0YkVLeVD4ytyiyVSIiF,vncbG-QJlng
1,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,foE1mO2yM04
79,Ed Sheeran ,6eUKZXaKkcviH0Ku9w2n3V,Orq_75kFi8I
191,SKRILLEX,,YJVmu6yttiw
220,Years ,5vBSrE1xujD2FXYRarbAXc,BrjhkRIsAiw
225,Zedd,2qxJFvFYMEDqd7ui6kSAcq,IxxstCcJlsc
238,Mac Miller Ft. Miguel,,N29-54dhVHg
245,NoMBe,,yjcS674AgOQ
246,Connan Mockasin,247AfC9pLuqwgpH8Mo96oA,Teyy1A_AJso
263,Andrea Balency,,Fdtv3vNhuMM
282,Hoodie Allen,382aq8Pij5V2nE2JMHMoxl,vQDqpxFw4LU
297,the Postal Service,5yV1qdnmxyIYiSFB02wpDj,0wrsZog8qXg
299,Tycho,,k9F9fuJLZoM
303,Two Door Cinema,536BYVgOnRky0xjsPT96zl,YXwYJyrKK5A
325,Ratatat,57dN52uHvrHOxijzpIgu3E,KhrteSZXFzM
