pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_week,vid,song_id,updated_at,pop_trending
19357228,19351092,19338827,19322422,19315433,19302780,19289662,67566,JPtQ4K-evBo,,2016-03-03 00:07:36,35
10764332,10736156,10689823,10643978,10620670,10565297,10512391,251941,1wl5BbUg05M,,2017-01-29 00:01:02,240
2647895,2646626,2644688,2643039,2642270,2640360,2638527,9368,6_tyPKUZumw,,2017-01-29 00:01:02,36
88368664,88301742,88176241,88065811,88014246,87882214,87757665,610999,hRK7PVJFbS8,,2017-01-29 00:01:02,70
17690975,17665381,17619472,17577899,17557426,17506361,17457875,233100,N29-54dhVHg,,2017-01-29 00:01:02,134
42118,42116,42114,42101,42096,42084,42081,37,-NDyVqwC5Gc,,2016-05-29 00:01:06,9
28099383,28094885,28086682,28079811,28076238,28067390,28059372,40011,ksocjhxX_DQ,,2017-01-29 00:01:02,14
1918699,1917643,1915583,1913621,1912684,1910484,1908634,10065,1uXrXTSASK0,,2017-01-29 00:01:02,53
9417165,9386800,9334507,9283653,9256659,9194769,9135429,281736,l72-AuyMDEs,,2017-01-29 00:01:02,308
31443346,31419890,31379464,31343978,31325900,31278077,31236016,207330,fLCf-URqIf0,,2017-01-29 00:01:02,66
749257,748183,745305,742494,741036,737934,733876,15381,d5K3UgrPdbQ,,2017-01-29 00:01:02,210
621429,621024,620277,619658,619341,618721,617609,3820,J-n7N1RXJbM,,2017-01-29 00:01:02,62
24221,24215,24205,24189,24185,24178,24170,51,C169fjEBC3o,,2017-01-29 00:01:02,21
4108746,4108472,4107999,4107585,4107398,4106903,4106438,2308,sYLufX5nC30,,2017-01-29 00:01:02,6
5876985,5860466,5826955,5795403,5780025,5747316,5712624,164361,CI1g4dnDtao,,2017-01-29 00:01:02,288
1070120,1068139,1064620,1061698,1060153,1057397,1054471,15649,zZ7PVig8qyA,,2017-01-29 00:01:02,148
1160596,1156498,1148980,1142085,1138470,1131327,1123963,36633,XEcKhamKyW4,,2017-01-29 00:01:02,326
81283982,81177237,81002172,80828947,80749561,80519431,80295555,988427,uMK0prafzw0,,2017-01-29 00:01:02,123
1171010,1169802,1167430,1165193,1163959,1161569,1159175,11835,7jekYAm3fkA,,2017-01-29 00:01:02,102
58749255,58686521,58569138,58462528,58405408,58264929,58133318,615937,yEG2VTHS9yg,,2017-01-29 00:01:02,106
1721290,1720444,1719093,1717920,1717298,1715691,1714246,7044,nskaoVf8PPM,,2017-01-29 00:01:02,41
3358569,3358019,3357062,3356151,3355676,3354582,3353539,5030,KxJdMhfn9g4,,2017-01-29 00:01:02,15
129466548,129415911,129322013,129231289,129189910,129078624,128966012,500536,Co0tTeuUVhU,,2017-01-29 00:01:02,39
12148,12148,12146,12142,12142,12142,12138,10,_3ZI_TGTJ0g,,2017-01-29 00:01:02,8
56090348,55988178,55801635,55639844,55559936,55325540,55119557,970791,IxGvm6btP1A,,2017-01-29 00:01:02,176
10883860,10881522,10877682,10874250,10872368,10867532,10863282,20578,m0EiujcV3Tg,,2017-01-29 00:01:02,19
2106549,2106477,2106320,2106149,2106063,2105903,2105737,812,buQpcpQqdKo,,2017-01-29 00:01:02,4
13240368,13225874,13201729,13178405,13166578,13141745,13116633,123735,BgK_Er7WZVg,,2017-01-29 00:01:02,94
32378294,32342085,32275280,32202827,32169794,32103769,32025750,352544,sng_CdAAw8M,,2017-01-29 00:01:02,110
725410,724977,724144,723275,722863,721867,720984,4426,waEoKZIa0S4,,2017-01-29 00:01:02,61
27539397,27509833,27459309,27415007,27394583,27331900,27275002,264395,IwBS6QGsH_4,,2017-01-29 00:01:02,97
132097,132040,131931,131797,131745,131633,131555,542,OcAMZmph6j8,,2017-01-29 00:01:02,41
117006496,116953523,116860252,116774989,116732580,116624557,116531313,475183,zKCrSN9oXgQ,,2017-01-29 00:01:02,41
735686253,735110689,734156548,733174211,732678342,731476938,730382543,5303710,KEI4qSrkPAs,,2017-01-29 00:01:02,73
39260239,39242904,39217997,39196979,39185832,39156099,39130321,129918,bkk2H3Ztrfk,,2017-01-29 00:01:02,33
3253327,3250365,3245536,3239762,3236732,3231203,3226222,27105,ioq_t_GHBtg,,2017-01-29 00:01:02,84
1538080,1536147,1532393,1528942,1527344,1523558,1520105,17975,cuoIvNFUY7I,,2017-01-29 00:01:02,118
1151058,1150439,1149555,1148554,1148090,1147083,1146126,4932,16yiEXhOukg,,2017-01-29 00:01:02,43
107304071,107181433,106951488,106735029,106639104,106445223,106240212,1063859,dX3k_QDnzHE,,2017-01-29 00:01:02,100
387577,387405,387068,386801,386670,386366,386030,1547,Y7y0iEQ_4iE,,2017-01-29 00:01:02,40
5650132,5648785,5648178,5647505,5646656,5646311,5645749,4383,XlZtvEM5mf4,,2016-05-01 00:00:24,8
2756836,2746681,2724080,2714042,2709037,2697953,2687415,69421,GNCd_ERZvZM,,2017-01-29 00:01:02,258
9325819,9322028,9316277,9310739,9307552,9300528,9294303,31516,FWR9MR5juWI,,2017-01-29 00:01:02,34
302588,302559,302495,302431,302405,302322,302072,516,vncbG-QJlng,,2017-01-29 00:01:02,17
221012,220568,220394,220173,219899,219782,219630,1382,0Owt4_bzL9Q,,2016-05-01 00:00:25,63
27031405,27010140,26965172,26922504,26900834,26866241,26822268,209137,GLr0usOC2_k,,2017-01-29 00:01:02,78
272434,272370,272261,272155,272104,271963,271846,588,4F1JFPSQSlE,,2017-01-29 00:01:02,22
45441944,45417930,45373672,45330216,45309040,45261097,45209762,232182,mFNaFeIm4bU,,2017-01-29 00:01:02,51
176499562,176303288,175918289,175567736,175374085,174971032,174589920,1909642,7LnBvuzjpr4,,2017-01-29 00:01:02,109
510195,502979,490665,480572,477203,470733,465463,44732,9lRrg5DlUu8,,2017-01-29 00:01:02,961
5251287,5246974,5239205,5231444,5227803,5222815,5216532,34755,9P2w_hq8YTk,,2017-01-29 00:01:02,67
6332104,6310346,6272646,6239723,6222184,6179610,6141746,190358,9RHFFeQ2tu4,,2017-01-29 00:01:02,310
2430718,2429945,2428442,2427056,2426318,2424681,2423147,7571,v29I0srhPwg,,2017-01-29 00:01:02,31
