id,name,playlist_name,spotify_id,spotify_songid
4022,Hollywood featuring Penguin Prison (Cassian Remix),NULL,1257265982,NULL
4023,Stay Close (RAC Mix),NULL,1257265982,NULL
4024,1979 (ft. Liz Anjos),NULL,1257265982,NULL
4025,Lovely Bloodflow,NULL,1257265982,1ZfkdeAL3SSuCSSzXn9GMR
4026,Mornin',NULL,1257265982,0vZx2ZvuPJIwn8FjYNu3S8
4027,Ladies In The Back,NULL,1257265982,1fUDgIIHM72Jrg1cE3ECqU
4028,Goth Star,NULL,1257265982,620FVMlb3Dse0jIZFb1nOm
4029,Soak It Up,NULL,1257265982,2MjJ8ajY6WfoCChcA74olC
4030,Lasting Love,NULL,1257265982,2TEf0xz78uemDP2NrX4IyN
4031,Say Please,NULL,1257265982,7utK0r2yuDwcR8DvfsTYME
4032,Brooklyn Sunburn,NULL,1257265982,5SWpgoDVaBUinwHVVqVddK
4033,Real Life,NULL,1257265982,6QbV8WbQKqDuFWgy5IO2dS
4034,Your Girl,NULL,1257265982,NULL
4035,Stay,NULL,1257265982,NULL
4036,The Wisdom of Insecurity,NULL,1257265982,1BF9akikNxghpnkQMoxMKJ
4037,"Doubt, No",NULL,1257265982,5yJ73c5fSBG0lcnW7uxc8m
4038,Still Sleeping (feat. Steffaloo),NULL,1257265982,42fCoVJzOPBp80RkAa4xxy
4039,Good As New,NULL,1257265982,5UX5ZrgY4vXnRjAhcdVQUC
4040,Crystal Lake - Original Mix,NULL,1257265982,5aPb0NLa1KmroAO1eE5VeS
4041,I Wanna Go,NULL,1257265982,3EA4HwrlLdDJ3b4cX7JfqC
4042,Life On Repeat,NULL,1257265982,30O2xhU4ZiKiQnzTuNbMh4
4043,CPU,NULL,1257265982,4ejHYIyUfGoAYscal3ygCb
4044,It Aint Done Til Its Over,NULL,1257265982,2vohWNKZv0oYApfuYJKhiA
4045,Please Stay,NULL,1257265982,6SsaNbRkxyqr7j0HJ3UZ3U
4046,Silver Screen,NULL,1257265982,6Wwl1p1y25HqLAvINGVHmV
4047,Moments,NULL,1257265982,3wL9PiHK8bl1by83lrVnjj
4048,Limit To Your Love,NULL,1257265982,33BnSMHgX0AsbKSIbkuMwh
4049,Anywhere But Here,NULL,1257265982,5L168SymHVEsox6HyFQqsU
4050,Thistle - AraabMuzik Remix,NULL,1257265982,3IEecTri3qustpK4QVQr9s
4051,"Palace Garden, 4 Am",NULL,1257265982,40S6PBv7GHvM4pUvstGX5k
4052,Blue Jeans - RAC Mix,NULL,1257265982,7JVNRVPeXFAOdMrxOHNjVv
4053,"All Night, All Right :: Side A :: For Dance",NULL,1257265982,5gSbmTya9lZ30LgeLjCtrY
4054,Havva,NULL,1257265982,4YDMrJV3JB0vq39VWqEpu8
