artist,spotify_id,id
Stevie Nicks,1234239797,9537
Kanye West & John Legend,1234239797,9545
The Staple Singers,1232728199,9777
Lowell Fulson,1232728199,9788
Otis Redding,1232728199,9799
Drake,1232728199,9810
Fat Joe,1232728199,9816
Kid Cudi,1232728199,9826
Dirty Heads,1232728199,9837
Andy Mineo,1232728199,9848
Pink Floyd,1232728199,9859
Bill Summers,1232728199,9871
Poeta Callejero,1232728199,9881
KAYTRANADA,1232728199,9891
Honey Island Swamp Band,1232728199,9898
George Strait,1232728199,9906
SOL,1232728199,9916
Dan Auerbach,1232728199,9927
Hailie Jade,1232728199,9937
Sweatshop Union,1232728199,9950
Big K.R.I.T.,1232728199,9960
Kool & The Gang,1232728199,9969
Juelz Santana,1232728199,9979
Escort,1232728199,9989
Ayden,1232728199,9999
Two Door Cinema Club,1232728199,10004
Tiga,1232728199,10015
Disclosure,1232728199,10025
Xzibit,1232728199,10036
Missy Elliott,1232728199,10047
Jerry Garcia,1232728199,10056
Tito Puente,1232728199,10066
Air,1232728199,10076
Os Mutantes,1232728199,10086
Chris Joss,1232728199,10096
NAO,1232728199,10106
Sly & The Family Stone,1232728199,10118
Shannon and The Clams,1232728199,10126
Dom Kennedy,1232728199,10138
Jungle,1232728199,10154
Calvin Harris,1232728199,10164
Chrisette Michele,1232728199,10174
TLC,1232728199,10185
Pnau,1232728199,10195
Roscoe Dash,1232728199,10205
Natalie Tatum,1232728199,10215
Chingy,1232728199,10225
Disturbing Tha Peace,1232728199,10235
Murphy Lee,1232728199,10245
Mystic,1232728199,10255
Shania Twain,1232728199,10265
Schoolboy Q,1232728199,10276
Four Tops,1232728199,10286
Marvin Gaye,1232728199,10296
The Velvelettes,1232728199,10306
The Meters,1232728199,10317
Sharon Jones & The Dap-Kings,1232728199,10327
Skalpel,1232728199,10337
Yukimi Nagano,1232728199,10347
Justin Bieber,1232728199,10356
Gardiner Sisters,1232728199,10367
fun.,1232728199,10377
Bahari,1232728199,10388
Sia,1232728199,10398
Walk Off the Earth,1232728199,10408
Counting Crows,1232728199,10420
Andy Burrows,1232728199,10431
Maverick Sabre,1232728199,10441
John Tropea,1232728199,10452
Funk Inc.,1232728199,10463
M83,1232728199,10475
Charlie Puth,1232728199,10483
Kendall Morgan,1232728199,10493
Charlie Wilson,1232728199,10503
Great Good Fine Ok,1232728199,10513
AlunaGeorge,1232728199,10524
AWOLNATION,1232728199,10535
Astrid S,1232728199,10540
Marcus Marr,1232728199,10551
Sigma,1232728199,10561
Lewis Del Mar,1232728199,10571
Son Lux,1232728199,10581
Eminem,1234239797,9520
Talib Kweli,1234239797,9530
Sylvia,1234239797,9539
"Kanye West, Kid Cudi & Raekwon",1234239797,9547
Barbara Perry,1232728199,9778
Candi Staton,1232728199,9789
R.B. Greaves,1232728199,9800
MC Eiht,1232728199,9809
Troy Ave,1232728199,9815
Dan Black,1232728199,9825
Eighty4 Fly,1232728199,9836
Jeezy,1232728199,9846
Thin Lizzy,1232728199,9856
Fleetwood Mac,1232728199,9867
Ghostface Killah,1232728199,9884
HOLYCHILD,1232728199,9894
Swollen Members,1232728199,9902
Kidz In The Hall,1232728199,9912
Wiz Khalifa,1232728199,9921
Problem,1232728199,9931
The Dap-Kings Horns,1232728199,9941
Aloe Blacc,1232728199,9951
The Dirty Guv'nahs,1232728199,9961
UGK,1232728199,9976
Curtis Mayfield,1232728199,9987
Yellow Claw,1232728199,9998
Sinkane,1232728199,10008
Anne-Marie,1232728199,10018
Bishop Nehru,1232728199,10028
R. Kelly,1232728199,10038
Juvenile,1232728199,10048
Stevie Nicks,1232728199,10058
Jonathan Richman,1232728199,10068
Bobby Hebb,1232728199,10078
Burt Bacharach,1232728199,10088
Caribou,1232728199,10098
Atlas Bound,1232728199,10108
Leon Bridges,1232728199,10116
Robert Palmer,1232728199,10127
Kurt Vile,1232728199,10136
Wild Child,1232728199,10146
Chet Faker,1232728199,10157
Ellie Goulding,1232728199,10167
GTA,1232728199,10177
Mary J. Blige,1232728199,10186
Christina Aguilera,1232728199,10197
Swizz Beatz,1232728199,10207
Gin Wigmore,1232728199,10217
Too $hort,1232728199,10227
T-Pain,1232728199,10238
The Lonely Island,1232728199,10247
Soulja Boy,1232728199,10257
Def Leppard,1232728199,10267
Aqua,1232728199,10277
Dusty Springfield,1232728199,10287
Tammi Terrell,1232728199,10297
Bobby Day,1232728199,10307
Edwin Starr,1232728199,10316
Rex Williams,1232728199,10326
DJ Krush,1232728199,10336
Koop,1232728199,10345
Norah Jones,1232728199,10355
Maroon 5,1232728199,10365
James Bay,1232728199,10375
Kurt Hugo Schneider,1232728199,10382
Colbie Caillat,1232728199,10392
Zedd,1232728199,10402
Maxwell,1232728199,10412
Extreme,1232728199,10421
The Corrs,1232728199,10430
Maddi Jane,1232728199,10439
Orgone,1232728199,10449
Solsonics,1232728199,10459
Tiësto,1232728199,10469
Dej Loaf,1232728199,10479
R. City,1232728199,10489
Muse,1232728199,10498
Lunchmoney Lewis,1232728199,10508
Viceroy,1232728199,10519
Sleeping With Sirens,1232728199,10529
PSY,1232728199,10542
Sammy Adams,1232728199,10552
Jetta,1232728199,10562
ANOHNI,1232728199,10572
Allan Rayman,1232728199,10582
Mndsgn,1233904087,17161
Kyle,1233904087,17162
Rod Stewart,1233904087,17163
Vulfpeck,1233904087,17164
Marvin Gaye,1233904087,17165
James Gang,1233904087,17166
Al Green,1233904087,17167
Antibalas,1233904087,17168
Santana,1233904087,17169
Scissor Sisters,1233904087,17170
Bob Dylan,1233904087,17171
Dr. Hook,1233904087,17172
Fetty Wap,1233904087,17173
Monty,1233904087,17174
M80,1233904087,17175
Chaz French,1233904087,17176
Eddie Vanz,1233904087,17177
Lito Walker,1233904087,17178
GoldLink,1233904087,17179
Phil Ade,1233904087,17180
Saba,1233904087,17181
Jakubi,1233904087,17182
Charles Hamilton,1233904087,17183
Mark Morrison,1233904087,17184
Gibbz,1233904087,17185
Daye Jack,1233904087,17186
"Vampire Weekend feat. Danny Brown, Heems & Despot",1233904087,17187
Vampire Weekend,1233904087,17188
Danny Brown,1233904087,17189
Heems,1233904087,17190
Despot,1233904087,17191
Lafa Taylor,1233904087,17192
Medium Troy,1233904087,17193
Elzhi,1233904087,17194
Brian Eno,1233904087,17195
Jonathan Goldman,1233904087,17196
Laraaji,1233904087,17197
Sarah Benon,1233904087,17198
Andi Goldman,1233904087,17199
Sarah Benson,1233904087,17200
Michael Stearns,1233904087,17201
Peter Davison,1233904087,17202
Hakobune,1233904087,17203
Masayuki Koga,1233904087,17204
Jorge Alfano,1233904087,17205
"Tibetan Singing Bowls for Relaxation, Meditation and Chakra Balancing",1233904087,17206
Faures,1233904087,17207
Steven Halpern,1233904087,17208
MC Yogi,1233904087,17209
Bohren & Der Club Of Gore,1233904087,17210
Tibetan Singing Bowls,1233904087,17211
B.o.B,1234239797,9521
The Fray,1234239797,9533
Passenger,1234239797,9542
B.O.B.,1234239797,9550
Lou Rawls,1232728199,9779
Brothers Unlimited,1232728199,9791
Rufus Thomas,1232728199,9801
Great Dane,1232728199,9813
Chinx,1232728199,9823
Andre Nickatina,1232728199,9834
NF,1232728199,9845
Nujabes,1232728199,9854
Zapp,1232728199,9865
Alessia Cara,1232728199,9877
Vic Mensa,1232728199,9887
Obie Trice,1232728199,9899
Aer,1232728199,9907
Kings of Leon,1232728199,9917
Vacationer,1232728199,9926
Driicky Graham,1232728199,9934
Danny Brown,1232728199,9943
Cyhi Da Prynce,1232728199,9955
The Holdup,1232728199,9967
Wale,1232728199,9977
Nicki Minaj,1232728199,9986
Tuxedo,1232728199,9996
Elen Levon,1232728199,10007
P-Lo,1232728199,10014
Portugal. The Man,1232728199,10023
Allan Kingdom,1232728199,10032
Ricardo Ducent,1232728199,10042
Mystikal,1232728199,10052
Saint Motel,1232728199,10065
Oscar D'León,1232728199,10075
Brazilian Girls,1232728199,10085
A.Popp,1232728199,10094
Unknown Mortal Orchestra,1232728199,10104
T. Rex,1232728199,10115
Ghostwridah,1232728199,10125
Mac Demarco,1232728199,10135
James Vincent McMorrow,1232728199,10145
David Bowie,1232728199,10155
Tinashé,1232728199,10165
Syleena Johnson,1232728199,10175
Majid Jordan,1232728199,10184
Caught A Ghost,1232728199,10192
The-Dream,1232728199,10202
