id,mood,song_id,mood_id,type
516,bmore,191,179,genre
517,dance pop,5,18,genre
518,dance pop,191,18,genre
519,escape room,5,53,genre
520,escape room,191,53,genre
521,hip house,5,94,genre
522,hip house,191,94,genre
523,hip pop,5,58,genre
524,hip pop,191,58,genre
525,indie r&b,5,23,genre
526,indie r&b,191,23,genre
527,pop,5,4,mastergenre
528,pop,191,4,mastergenre
529,indie pop,164,45,genre
530,indietronica,164,55,genre
531,pop,164,4,mastergenre
532,shimmer pop,164,56,genre
533,alternative dance,7,27,genre
534,dance-punk,7,90,genre
535,escape room,7,53,genre
536,hip pop,7,58,genre
537,indie pop,7,45,genre
538,indie r&b,7,23,genre
539,indie rock,7,46,genre
540,indietronica,7,55,genre
541,new rave,7,32,genre
542,pop,7,4,mastergenre
543,shimmer pop,7,56,genre
544,synthpop,7,33,genre
545,brostep,167,157,genre
546,edm,167,1,genre
547,electro house,167,2,genre
548,electronic trap,167,147,genre
549,glitch hop,167,64,genre
550,jam band,167,NULL,genre
551,trip hop,167,34,genre
552,australian alternati,9,80,genre
553,australian alternati,147,80,genre
554,australian alternati,149,80,genre
555,australian alternati,442,80,genre
556,downtempo,9,97,genre
557,downtempo,147,97,genre
558,downtempo,149,97,genre
559,downtempo,442,97,genre
560,indie r&b,9,23,genre
561,indie r&b,147,23,genre
562,indie r&b,149,23,genre
563,indie r&b,442,23,genre
564,tropical house,9,26,genre
565,tropical house,147,26,genre
566,tropical house,149,26,genre
567,tropical house,442,26,genre
568,pop rap,169,7,genre
569,pop rap,201,7,genre
570,pop rap,202,7,genre
571,pop rap,306,7,genre
572,pop rap,410,7,genre
573,rap,169,8,genre
574,rap,201,8,genre
575,rap,202,8,genre
576,rap,306,8,genre
577,rap,410,8,genre
578,underground pop rap,169,9,genre
579,underground pop rap,201,9,genre
580,underground pop rap,202,9,genre
581,underground pop rap,306,9,genre
582,underground pop rap,410,9,genre
583,folk-pop,10,42,genre
584,folk-pop,70,42,genre
585,folk-pop,101,42,genre
586,folk-pop,102,42,genre
587,folk-pop,359,42,genre
588,indie folk,10,5,genre
589,indie folk,70,5,genre
590,indie folk,101,5,genre
591,indie folk,102,5,genre
592,indie folk,359,5,genre
593,indie pop,10,45,genre
594,indie pop,70,45,genre
595,indie pop,101,45,genre
596,indie pop,102,45,genre
597,indie pop,359,45,genre
598,indie rock,10,46,genre
599,indie rock,70,46,genre
600,indie rock,101,46,genre
601,indie rock,102,46,genre
602,indie rock,359,46,genre
603,indietronica,10,55,genre
604,indietronica,70,55,genre
605,indietronica,101,55,genre
606,indietronica,102,55,genre
607,indietronica,359,55,genre
608,deep indie r&b,11,79,genre
609,escape room,11,53,genre
610,indie r&b,11,23,genre
611,indietronica,11,55,genre
612,pop,11,4,mastergenre
613,synthpop,11,33,genre
614,trip hop,11,34,genre
615,tropical house,11,26,genre
616,big room,172,100,genre
617,disco house,172,29,genre
618,edm,172,1,genre
619,electro house,172,2,genre
620,house,172,3,genre
621,progressive house,172,95,genre
622,tropical house,172,26,genre
623,deep underground hip,12,137,genre
624,deep underground hip,476,137,genre
625,dwn trap,12,NULL,genre
626,dwn trap,476,NULL,genre
627,escape room,12,53,genre
628,escape room,476,53,genre
629,hip hop,12,87,mastergenre
630,hip hop,476,87,mastergenre
631,indie r&b,12,23,genre
632,indie r&b,476,23,genre
633,pop rap,12,7,genre
634,pop rap,476,7,genre
635,rap,12,8,genre
636,rap,476,8,genre
637,southern hip hop,12,61,genre
638,southern hip hop,476,61,genre
639,trap music,12,63,genre
640,trap music,476,63,genre
641,underground hip hop,12,83,genre
642,underground hip hop,476,83,genre
643,bass music,173,122,genre
644,electronic trap,173,147,genre
645,escape room,173,53,genre
646,future garage,173,107,genre
647,indie r&b,173,23,genre
648,vapor twitch,173,135,genre
649,wonky,173,66,genre
650,pop rap,13,7,genre
651,pop rap,128,7,genre
652,pop rap,129,7,genre
653,pop rap,130,7,genre
654,pop rap,168,7,genre
655,rap,13,8,genre
656,rap,128,8,genre
657,rap,129,8,genre
658,rap,130,8,genre
659,rap,168,8,genre
660,folk-pop,14,42,genre
661,indie folk,14,5,genre
662,indie pop,14,45,genre
663,indie rock,14,46,genre
664,indietronica,14,55,genre
665,pop rock,14,49,genre
666,stomp and holler,14,50,genre
667,alternative dance,176,27,genre
668,alternative dance,178,27,genre
669,dance-punk,176,90,genre
670,dance-punk,178,90,genre
671,electro house,176,2,genre
672,electro house,178,2,genre
673,electronic,176,31,mastergenre
674,electronic,178,31,mastergenre
675,filter house,176,93,genre
676,filter house,178,93,genre
677,indietronica,176,55,genre
678,indietronica,178,55,genre
679,new rave,176,32,genre
680,new rave,178,32,genre
681,synthpop,176,33,genre
682,synthpop,178,33,genre
683,kiwi rock,15,152,genre
684,deep indie r&b,177,79,genre
685,indie pop,16,45,genre
686,indie r&b,16,23,genre
687,indie rock,16,46,genre
688,indietronica,16,55,genre
689,neo-psychedelic,16,71,genre
690,alternative dance,179,27,genre
691,alternative dance,180,27,genre
692,alternative dance,261,27,genre
693,alternative dance,273,27,genre
694,chamber pop,179,40,genre
695,chamber pop,180,40,genre
696,chamber pop,261,40,genre
697,chamber pop,273,40,genre
698,dance-punk,179,90,genre
699,dance-punk,180,90,genre
700,dance-punk,261,90,genre
701,dance-punk,273,90,genre
702,electronic,179,31,mastergenre
703,electronic,180,31,mastergenre
704,electronic,261,31,mastergenre
705,electronic,273,31,mastergenre
706,garage rock,179,43,genre
707,garage rock,180,43,genre
708,garage rock,261,43,genre
709,garage rock,273,43,genre
710,indie pop,179,45,genre
711,indie pop,180,45,genre
712,indie pop,261,45,genre
713,indie pop,273,45,genre
714,indie r&b,179,23,genre
715,indie r&b,180,23,genre
716,indie r&b,261,23,genre
717,indie r&b,273,23,genre
718,indie rock,179,46,genre
719,indie rock,180,46,genre
720,indie rock,261,46,genre
721,indie rock,273,46,genre
722,indietronica,179,55,genre
723,indietronica,180,55,genre
724,indietronica,261,55,genre
725,indietronica,273,55,genre
726,new rave,179,32,genre
727,new rave,180,32,genre
728,new rave,261,32,genre
729,new rave,273,32,genre
730,synthpop,179,33,genre
731,synthpop,180,33,genre
732,synthpop,261,33,genre
733,synthpop,273,33,genre
734,disco house,17,29,genre
735,electro house,17,2,genre
736,alternative rock,181,39,genre
737,alternative rock,182,39,genre
738,alternative rock,183,39,genre
739,anti-folk,181,136,genre
740,anti-folk,182,136,genre
741,anti-folk,183,136,genre
742,brooklyn indie,181,69,genre
743,brooklyn indie,182,69,genre
744,brooklyn indie,183,69,genre
745,chamber pop,181,40,genre
746,chamber pop,182,40,genre
747,chamber pop,183,40,genre
748,chillwave,181,51,genre
749,chillwave,182,51,genre
750,chillwave,183,51,genre
751,dance-punk,181,90,genre
752,dance-punk,182,90,genre
753,dance-punk,183,90,genre
754,dream pop,181,52,genre
755,dream pop,182,52,genre
756,dream pop,183,52,genre
757,experimental rock,181,128,genre
758,experimental rock,182,128,genre
759,experimental rock,183,128,genre
760,folk-pop,181,42,genre
761,folk-pop,182,42,genre
762,folk-pop,183,42,genre
763,freak folk,181,70,genre
764,freak folk,182,70,genre
765,freak folk,183,70,genre
766,indie folk,181,5,genre
767,indie folk,182,5,genre
768,indie folk,183,5,genre
769,indie pop,181,45,genre
770,indie pop,182,45,genre
771,indie pop,183,45,genre
772,indie r&b,181,23,genre
773,indie r&b,182,23,genre
774,indie r&b,183,23,genre
775,indie rock,181,46,genre
776,indie rock,182,46,genre
777,indie rock,183,46,genre
778,indietronica,181,55,genre
779,indietronica,182,55,genre
780,indietronica,183,55,genre
781,lo-fi,181,47,genre
782,lo-fi,182,47,genre
783,lo-fi,183,47,genre
784,neo-psychedelic,181,71,genre
785,neo-psychedelic,182,71,genre
786,neo-psychedelic,183,71,genre
787,new rave,181,32,genre
788,new rave,182,32,genre
789,new rave,183,32,genre
790,new weird america,181,150,genre
791,new weird america,182,150,genre
792,new weird america,183,150,genre
793,noise pop,181,72,genre
794,noise pop,182,72,genre
795,noise pop,183,72,genre
796,noise rock,181,134,genre
797,noise rock,182,134,genre
798,noise rock,183,134,genre
799,shimmer pop,181,56,genre
800,shimmer pop,182,56,genre
801,shimmer pop,183,56,genre
802,singer-songwriter,181,77,genre
803,singer-songwriter,182,77,genre
804,singer-songwriter,183,77,genre
805,slow core,181,138,genre
806,slow core,182,138,genre
807,slow core,183,138,genre
808,stomp and holler,181,50,genre
809,stomp and holler,182,50,genre
810,stomp and holler,183,50,genre
811,aussietronica,18,36,genre
812,deep australian indi,18,NULL,genre
813,gauze pop,18,74,genre
814,house,18,3,genre
815,tropical house,18,26,genre
816,vapor soul,18,158,genre
817,trip hop,184,34,genre
818,trip hop,185,34,genre
819,deep groove house,190,162,genre
820,house,190,3,genre
821,mathcore,190,NULL,genre
822,post-metal,190,NULL,genre
823,tropical house,190,26,genre
824,folk-pop,20,42,genre
825,indie pop,20,45,genre
826,indie poptimism,20,102,genre
827,indietronica,20,55,genre
828,shimmer pop,20,56,genre
829,escape room,192,53,genre
830,hip pop,192,58,genre
831,strut,192,NULL,genre
832,aussietronica,21,36,genre
833,aussietronica,23,36,genre
834,aussietronica,35,36,genre
835,aussietronica,439,36,genre
836,aussietronica,472,36,genre
837,australian alternati,21,80,genre
838,australian alternati,23,80,genre
839,australian alternati,35,80,genre
840,australian alternati,439,80,genre
841,australian alternati,472,80,genre
842,australian dance,21,37,genre
843,australian dance,23,37,genre
844,australian dance,35,37,genre
845,australian dance,439,37,genre
846,australian dance,472,37,genre
847,downtempo,21,97,genre
848,downtempo,23,97,genre
849,downtempo,35,97,genre
850,downtempo,439,97,genre
851,downtempo,472,97,genre
852,tropical house,21,26,genre
853,tropical house,23,26,genre
854,tropical house,35,26,genre
855,tropical house,439,26,genre
856,tropical house,472,26,genre
857,dance pop,193,18,genre
858,escape room,193,53,genre
859,hip pop,193,58,genre
860,indie r&b,193,23,genre
861,new rave,193,32,genre
862,pop,193,4,mastergenre
863,deep euro house,22,NULL,genre
864,deep tropical house,22,NULL,genre
865,tropical house,22,26,genre
866,chillwave,194,51,genre
867,chillwave,195,51,genre
868,chillwave,207,51,genre
869,dream pop,194,52,genre
870,dream pop,195,52,genre
871,dream pop,207,52,genre
872,freak folk,194,70,genre
873,freak folk,195,70,genre
874,freak folk,207,70,genre
875,indie garage rock,194,NULL,genre
876,indie garage rock,195,NULL,genre
877,indie garage rock,207,NULL,genre
878,indie pop,194,45,genre
879,indie pop,195,45,genre
880,indie pop,207,45,genre
881,indietronica,194,55,genre
882,indietronica,195,55,genre
883,indietronica,207,55,genre
884,neo-psychedelic,194,71,genre
885,neo-psychedelic,195,71,genre
886,neo-psychedelic,207,71,genre
887,noise pop,194,72,genre
888,noise pop,195,72,genre
889,noise pop,207,72,genre
890,nu gaze,194,73,genre
891,nu gaze,195,73,genre
892,nu gaze,207,73,genre
893,shiver pop,194,121,genre
894,shiver pop,195,121,genre
895,shiver pop,207,121,genre
896,deep indie r&b,24,79,genre
897,alternative dance,196,27,genre
898,alternative dance,197,27,genre
899,alternative dance,220,27,genre
900,alternative dance,221,27,genre
901,chillwave,196,51,genre
902,chillwave,197,51,genre
903,chillwave,220,51,genre
904,chillwave,221,51,genre
905,deep indie r&b,196,79,genre
906,deep indie r&b,197,79,genre
907,deep indie r&b,220,79,genre
908,deep indie r&b,221,79,genre
909,escape room,196,53,genre
910,escape room,197,53,genre
911,escape room,220,53,genre
912,escape room,221,53,genre
913,freak folk,196,70,genre
914,freak folk,197,70,genre
915,freak folk,220,70,genre
916,freak folk,221,70,genre
917,indie folk,196,5,genre
918,indie folk,197,5,genre
919,indie folk,220,5,genre
920,indie folk,221,5,genre
921,indie pop,196,45,genre
922,indie pop,197,45,genre
923,indie pop,220,45,genre
924,indie pop,221,45,genre
925,indie r&b,196,23,genre
926,indie r&b,197,23,genre
927,indie r&b,220,23,genre
928,indie r&b,221,23,genre
929,indie rock,196,46,genre
930,indie rock,197,46,genre
931,indie rock,220,46,genre
932,indie rock,221,46,genre
933,indietronica,196,55,genre
934,indietronica,197,55,genre
935,indietronica,220,55,genre
936,indietronica,221,55,genre
937,neo-psychedelic,196,71,genre
938,neo-psychedelic,197,71,genre
939,neo-psychedelic,220,71,genre
940,neo-psychedelic,221,71,genre
941,new rave,196,32,genre
942,new rave,197,32,genre
943,new rave,220,32,genre
944,new rave,221,32,genre
945,nu gaze,196,73,genre
946,nu gaze,197,73,genre
947,nu gaze,220,73,genre
948,nu gaze,221,73,genre
949,shimmer pop,196,56,genre
950,shimmer pop,197,56,genre
951,shimmer pop,220,56,genre
952,shimmer pop,221,56,genre
953,synthpop,196,33,genre
954,synthpop,197,33,genre
955,synthpop,220,33,genre
956,synthpop,221,33,genre
957,dance pop,25,18,genre
958,hip hop,25,87,mastergenre
959,hip pop,25,58,genre
960,indie r&b,25,23,genre
961,pop,25,4,mastergenre
962,pop rap,25,7,genre
963,r&b,25,20,mastergenre
964,rap,25,8,genre
965,southern hip hop,25,61,genre
966,urban contemporary,25,60,genre
967,deep groove house,27,162,genre
968,deep groove house,239,162,genre
969,deep groove house,240,162,genre
970,deep groove house,245,162,genre
971,deep indie r&b,27,79,genre
972,deep indie r&b,239,79,genre
973,deep indie r&b,240,79,genre
974,deep indie r&b,245,79,genre
975,future garage,27,107,genre
976,future garage,239,107,genre
977,future garage,240,107,genre
978,future garage,245,107,genre
979,house,27,3,genre
980,house,239,3,genre
981,house,240,3,genre
982,house,245,3,genre
983,indie r&b,27,23,genre
984,indie r&b,239,23,genre
985,indie r&b,240,23,genre
986,indie r&b,245,23,genre
987,nu disco,27,38,genre
988,nu disco,239,38,genre
989,nu disco,240,38,genre
990,nu disco,245,38,genre
991,tropical house,27,26,genre
992,tropical house,239,26,genre
993,tropical house,240,26,genre
994,tropical house,245,26,genre
995,alternative hip hop,199,108,genre
996,east coast hip hop,199,81,genre
997,escape room,199,53,genre
