electronic,,,1,2,2,3
"nu-disco, electro-indie","nu-disco, electro-indie,","nu-disco,","nu-disco, electro-indie,"," electro-indie,","nu-disco, electro-indie,"," electro-indie,"
"nu-disco, electro-indie","nu-disco, electro-indie,","nu-disco,","nu-disco, electro-indie,"," electro-indie,","nu-disco, electro-indie,"," electro-indie,"
"electronic, PBR&B, downtemp, soul, trip hop","electronic, PBR&B, downtemp, soul, trip hop,","electronic,","electronic, PBR&B,"," PBR&B,","electronic, PBR&B,"," PBR&B,"
"electronic, PBR&B, downtemp, soul, trip hop","electronic, PBR&B, downtemp, soul, trip hop,","electronic,","electronic, PBR&B,"," PBR&B,","electronic, PBR&B,"," PBR&B,"
"electronic, PBR&B, downtemp, soul, trip hop","electronic, PBR&B, downtemp, soul, trip hop,","electronic,","electronic, PBR&B,"," PBR&B,","electronic, PBR&B,"," PBR&B,"
"electronic, PBR&B, downtemp, soul, trip hop","electronic, PBR&B, downtemp, soul, trip hop,","electronic,","electronic, PBR&B,"," PBR&B,","electronic, PBR&B,"," PBR&B,"
"electronic, PBR&B, downtemp, soul, trip hop","electronic, PBR&B, downtemp, soul, trip hop,","electronic,","electronic, PBR&B,"," PBR&B,","electronic, PBR&B,"," PBR&B,"
hip hop,"hip hop,","hip hop,",,,,
"hip hop, R&B, alternative hip hop","hip hop, R&B, alternative hip hop,","hip hop,","hip hop, R&B,"," R&B,","hip hop, R&B,"," R&B,"
"hip hop, R&B, alternative hip hop","hip hop, R&B, alternative hip hop,","hip hop,","hip hop, R&B,"," R&B,","hip hop, R&B,"," R&B,"
"hip hop, R&B, alternative hip hop","hip hop, R&B, alternative hip hop,","hip hop,","hip hop, R&B,"," R&B,","hip hop, R&B,"," R&B,"
"hip hop, R&B, alternative hip hop","hip hop, R&B, alternative hip hop,","hip hop,","hip hop, R&B,"," R&B,","hip hop, R&B,"," R&B,"
"hip hop, R&B, alternative hip hop","hip hop, R&B, alternative hip hop,","hip hop,","hip hop, R&B,"," R&B,","hip hop, R&B,"," R&B,"
electronic,"electronic,","electronic,",,,,
hip hop,"hip hop,","hip hop,",,,,
"house, deep house","house, deep house,","house,","house, deep house,"," deep house,","house, deep house,"," deep house,"
house,"house,","house,",,,,
"indie, rock, pop","indie, rock, pop,","indie,","indie, rock,"," rock,","indie, rock,"," rock,"
"psychedelic pop, psychedelic rock, neo-psychedelia, dream pop, space rock","psychedelic pop, psychedelic rock, neo-psychedelia, dream pop, space rock,","psychedelic pop,","psychedelic pop, psychedelic rock,"," psychedelic rock,","psychedelic pop, psychedelic rock,"," psychedelic rock,"
"indie rock, pop","indie rock, pop,","indie rock,","indie rock, pop,"," pop,","indie rock, pop,"," pop,"
"electro house, progressive house","electro house, progressive house,","electro house,","electro house, progressive house,"," progressive house,","electro house, progressive house,"," progressive house,"
"house, electronic, disco, dance","house, electronic, disco, dance,","house,","house, electronic,"," electronic,","house, electronic,"," electronic,"
alternative hip hop,"alternative hip hop,","alternative hip hop,",,,,
alternative hip hop,"alternative hip hop,","alternative hip hop,",,,,
alternative hip hop,"alternative hip hop,","alternative hip hop,",,,,
"indie folk, alternative rock, ambient indie rock, folk rock, neo folk","indie folk, alternative rock, ambient indie rock, folk rock, neo folk,","indie folk,","indie folk, alternative rock,"," alternative rock,","indie folk, alternative rock,"," alternative rock,"
"EDM, house, progressive house, electro house, dance pop","EDM, house, progressive house, electro house, dance pop,","EDM,","EDM, house,"," house,","EDM, house,"," house,"
